0.027969,0.538944
0.029446,0.552079
0.029654,0.562786
0.042251,0.563008
0.045682,0.563333
0.056275,0.574599
0.060417,0.576857
0.079755,0.590938
0.088947,0.592109
0.091433,0.611774
0.111069,0.639716
0.129887,0.640748
0.141843,0.641249
0.144517,0.645294
0.149562,0.655195
0.150382,0.661516
0.153221,0.662058
0.160021,0.669569
0.160110,0.688802
0.174509,0.690137
0.186646,0.713546
0.192543,0.718242
0.198696,0.743134
0.200841,0.775146
0.202522,0.782045
0.229965,0.789146
0.232832,0.792514
0.234472,0.817701
0.241718,0.827937
0.245634,0.829814
0.251755,0.838611
0.272986,0.857559
0.284467,0.866220
0.290695,0.866813
0.297856,0.878652
0.298148,0.881979
0.300126,0.914044
0.310259,0.916027
0.311911,0.924891
0.314958,0.943511
0.332954,0.956003
0.357556,0.966816
0.358243,0.967454
0.379408,0.981175
0.396248,1.004516
0.407378,1.004599
0.448087,1.024133
0.453702,1.034910
0.478416,1.035357
0.484208,1.049780
0.490508,1.053613
0.529814,1.098480
0.549549,1.101379
0.551678,1.102507
0.560638,1.119486
0.574329,1.132343
0.576341,1.140176
0.578991,1.154886
0.582332,1.166126
0.586961,1.166703
0.587539,1.170090
0.601812,1.176160
0.604378,1.214092
0.624228,1.220568
0.630447,1.232757
0.640562,1.257600
0.648542,1.260981
0.659645,1.283114
0.673771,1.296652
0.682782,1.299585
0.689068,1.303402
0.690358,1.333558
0.698481,1.334815
0.700978,1.342386
0.713471,1.371175
0.718716,1.398608
0.722472,1.401640
0.742609,1.422434
0.744426,1.441535
0.746713,1.464126
0.756960,1.488413
0.773573,1.528373
0.778562,1.534445
0.803311,1.568388
0.819434,1.595431
0.820057,1.600326
0.842717,1.608323
0.844184,1.616921
0.851970,1.646941
0.872974,1.655557
0.875187,1.667849
0.880388,1.698967
0.910590,1.712221
0.924231,1.776644
0.928432,1.806024
0.961467,1.855505
0.977836,1.859019
0.988477,1.871656
0.989293,1.894019
0.998038,1.926135
